id,assignedById,courseId,createdAt,updatedAt,title,description,dueDate,openUntilDate,isOpen,visible,submissionType
assign37,user4,course4,2025-09-20 02:37:18.564,2025-09-20 02:37:18.564,CSS Grid,Layout with grid.,2025-10-30 23:59:00,2025-10-30 23:59:00,true,true,TEXT_ENTRY
assign38,user4,course4,2025-09-20 02:37:18.564,2025-09-20 02:37:18.564,Responsive Design,Media queries.,2025-11-04 23:59:00,2025-11-04 23:59:00,true,true,TEXT_ENTRY
assign39,user4,course4,2025-09-20 02:37:18.564,2025-09-20 02:37:18.564,JavaScript Events,Advanced event handling.,2025-11-09 23:59:00,2025-11-09 23:59:00,true,true,TEXT_ENTRY
assign4,user1,course1,2025-09-20 02:37:18.564,2025-09-20 02:37:18.564,Functions,Writing functions in Python.,2025-10-15 23:59:00,2025-10-15 23:59:00,true,true,TEXT_ENTRY
assign40,user4,course4,2025-09-20 02:37:18.565,2025-09-20 02:37:18.565,Final Project,Build a small website.,2025-11-15 23:59:00,2025-11-15 23:59:00,true,true,TEXT_ENTRY
assign41,user5,course5,2025-09-20 02:37:18.564,2025-09-20 02:37:18.564,Intro to Java,Basic Java syntax.,2025-10-01 23:59:00,2025-10-01 23:59:00,true,true,TEXT_ENTRY
assign42,user5,course5,2025-09-20 02:37:18.564,2025-09-20 02:37:18.564,OOP Basics,Classes and objects.,2025-10-05 23:59:00,2025-10-05 23:59:00,true,true,TEXT_ENTRY
assign43,user5,course5,2025-09-20 02:37:18.564,2025-09-20 02:37:18.564,Inheritance,Extending classes.,2025-10-10 23:59:00,2025-10-10 23:59:00,true,true,TEXT_ENTRY
assign44,user5,course5,2025-09-20 02:37:18.564,2025-09-20 02:37:18.564,Interfaces,Using interfaces.,2025-10-15 23:59:00,2025-10-15 23:59:00,true,true,TEXT_ENTRY
assign45,user5,course5,2025-09-20 02:37:18.564,2025-09-20 02:37:18.564,Collections,"Lists, sets, maps.",2025-10-20 23:59:00,2025-10-20 23:59:00,true,true,TEXT_ENTRY
assign46,user5,course5,2025-09-20 02:37:18.564,2025-09-20 02:37:18.564,Generics,Generic types.,2025-10-25 23:59:00,2025-10-25 23:59:00,true,true,TEXT_ENTRY
assign47,user5,course5,2025-09-20 02:37:18.564,2025-09-20 02:37:18.564,Exceptions,Error handling in Java.,2025-10-30 23:59:00,2025-10-30 23:59:00,true,true,TEXT_ENTRY
assign48,user5,course5,2025-09-20 02:37:18.564,2025-09-20 02:37:18.564,File I/O,Reading and writing files.,2025-11-04 23:59:00,2025-11-04 23:59:00,true,true,TEXT_ENTRY
assign49,user5,course5,2025-09-20 02:37:18.564,2025-09-20 02:37:18.564,Multithreading,Basic threading concepts.,2025-11-09 23:59:00,2025-11-09 23:59:00,true,true,TEXT_ENTRY
assign5,user1,course1,2025-09-20 02:37:18.564,2025-09-20 02:37:18.564,Lists and Dictionaries,Practice with lists and dicts.,2025-10-20 23:59:00,2025-10-20 23:59:00,true,true,TEXT_ENTRY
assign50,user5,course5,2025-09-20 02:37:18.564,2025-09-20 02:37:18.564,Final Project,Build a small Java application.,2025-11-15 23:59:00,2025-11-15 23:59:00,true,true,TEXT_ENTRY
assign6,user1,course1,2025-09-20 02:37:18.564,2025-09-20 02:37:18.564,String Manipulation,Working with strings.,2025-10-25 23:59:00,2025-10-25 23:59:00,true,true,TEXT_ENTRY
assign7,user1,course1,2025-09-20 02:37:18.564,2025-09-20 02:37:18.564,File I/O,Reading and writing files.,2025-10-30 23:59:00,2025-10-30 23:59:00,true,true,TEXT_ENTRY
assign8,user1,course1,2025-09-20 02:37:18.564,2025-09-20 02:37:18.564,Exceptions,Handling exceptions.,2025-11-04 23:59:00,2025-11-04 23:59:00,true,true,TEXT_ENTRY
assign9,user1,course1,2025-09-20 02:37:18.564,2025-09-20 02:37:18.564,Modules,Using Python modules.,2025-11-09 23:59:00,2025-11-09 23:59:00,true,true,TEXT_ENTRY
